alive ,alive_since     ,anonymity   ,average_timeout    ,first_seen      ,ip_data_as                                                                                                                      ,ip_data_asname                                    ,ip_data_city                 ,ip_data_continent ,ip_data_continentCode ,ip_data_country          ,ip_data_countryCode ,ip_data_district            ,ip_data_hosting ,ip_data_isp                                                           ,ip_data_lat ,ip_data_lon ,ip_data_mobile ,ip_data_org                                                     ,ip_data_proxy ,ip_data_regionName                    ,ip_data_status ,ip_data_timezone               ,ip_data_zip ,ip_data_last_update ,last_seen       ,port  ,protocol ,proxy                          ,ssl   ,timeout            ,times_alive ,times_dead ,uptime             ,ip
true  ,1731215050.0556 ,elite       , 3064.3513349839   ,1720657860.0581 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1731152350 ,1731215234.9599 , 3771 ,http     ,http://67.43.227.228:3771      ,false , 1170.7775592804   ,        405 ,     63975 , 0.62907735321528  ,67.43.227.228
true  ,1731215195.9118 ,elite       , 2337.7592793467   ,1696986733.4953 ,"AS22773 Cox Communications Inc."                                                                                               ,ASN-CXA-ALL-CCI-22773-RDC                         ,Roanoke                      ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,false           ,"Cox Communications Inc."                                             ,37.2613     ,-79.9335    ,false          ,"Cox Communications Inc."                                       ,true          ,Virginia                              ,success        ,America/New_York               ,24023       ,         1730844474 ,1731215234.3399 ,15291 ,socks4   ,socks4://184.178.172.25:15291  ,true  ,  768.96381378174  ,      93424 ,    137269 ,40.49711087896     ,184.178.172.25
true  ,1731215234.1987 ,elite       , 3540.0709724918   ,1718326273.9166 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1731197497 ,1731215234.1987 ,23737 ,http     ,http://72.10.160.170:23737     ,false ,  516.2296295166   ,        388 ,     67841 , 0.56867314485043  ,72.10.160.170
true  ,1731215233.9699 ,elite       ,  484.78934059039  ,1730218086.8192 ,"AS45102 Alibaba (US) Technology Co., Ltd."                                                                                     ,ALIBABA-CN-NET                                    ,Minkler                      ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"Alibaba.com LLC"                                                     ,36.7783     ,-119.418    ,false          ,ALICLOUD-US                                                     ,true          ,California                            ,success        ,America/Los_Angeles            ,            ,         1730822929 ,1731215233.9699 ,   82 ,http     ,http://47.88.59.79:82          ,false ,  307.76071548462  ,       9530 ,      5621 ,62.900138604713    ,47.88.59.79
true  ,1731215233.9404 ,elite       , 5676.1526007938   ,1724949811.7851 ,"AS14061 DigitalOcean, LLC"                                                                                                     ,DIGITALOCEAN-ASN                                  ,Bengaluru                    ,Asia              ,AS                    ,India                    ,IN                  ,                            ,true            ,"DigitalOcean, LLC"                                                   ,12.9634     ,77.5855     ,false          ,"DigitalOcean, LLC"                                             ,true          ,Karnataka                             ,success        ,Asia/Kolkata                   ,560100      ,         1730995191 ,1731215233.9404 , 9090 ,http     ,http://64.227.133.223:9090     ,false ,  318.44210624695  ,       2387 ,     66107 , 3.4849767862879   ,64.227.133.223
true  ,1731214783.3165 ,elite       ,  653.91830858338  ,1710556243.6803 ,"AS134196 ANYUN INTERNET TECHNOLOGY (HK) CO.,LIMITED"                                                                           ,ANYUN-INTERNET-TECHNOLOGY-HK-CO-LIMITED           ,"Hong Kong"                  ,Asia              ,AS                    ,"Hong Kong"              ,HK                  ,                            ,false           ,"Defender cloud international llc"                                    ,22.3964     ,114.109     ,false          ,"Asline Limited"                                                ,true          ,"New Territories"                     ,success        ,Asia/Hong_Kong                 ,999077      ,         1730688686 ,1731215233.4119 ,   80 ,http     ,http://198.44.255.3:80         ,false ,  568.80497932434  ,     157914 ,    133081 ,54.266911802608    ,198.44.255.3
true  ,1731215108.6878 ,elite       , 2287.6598103166   ,1730788932.5942 ,"AS212552 BitCommand LLC"                                                                                                       ,BitCommand                                        ,Istanbul                     ,Asia              ,AS                    ,Türkiye                  ,TR                  ,                            ,false           ,"BitCommand LLC"                                                      ,41.0145     ,28.9533     ,false          ,"Deployish Limited"                                             ,false         ,Istanbul                              ,success        ,Europe/Istanbul                ,34134       ,         1730787742 ,1731215233.3182 ,   80 ,http     ,http://91.228.186.200:80       ,false ,  196.69127464294  ,       5181 ,      1467 ,77.93321299639     ,91.228.186.200
true  ,1731215233.203  ,elite       ,  930.2260761057   ,1721930239.6881 ,"AS213230 Hetzner Online GmbH"                                                                                                  ,HETZNER-CLOUD2-AS                                 ,Ashburn                      ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,false           ,"Hetzner Online GmbH"                                                 ,39.0469     ,-77.4903    ,false          ,"Hetzner Online GmbH"                                           ,true          ,Virginia                              ,success        ,America/New_York               ,20149       ,         1730681777 ,1731215233.203  ,51111 ,http     ,http://5.161.115.29:51111      ,false , 7387.1028423309   ,      61150 ,     14579 ,80.748458318478    ,5.161.115.29
true  ,1731215232.3643 ,elite       , 3753.1023213812   ,1710808148.1287 ,"AS17494 Telecom Operator & Internet Service Provider as well"                                                                  ,BTTB-AS-AP                                        ,Dhaka                        ,Asia              ,AS                    ,Bangladesh               ,BD                  ,"Ramna Maidan"              ,false           ,"Bangladesh Telecommunications Company Ltd."                          ,23.7484     ,90.4079     ,false          ,"Bangladesh Telegraph & Telephone Board"                        ,false         ,"Dhaka Division"                      ,success        ,Asia/Dhaka                     ,1208        ,         1731092743 ,1731215232.3643 , 5678 ,socks4   ,socks4://203.112.223.126:5678  ,true  , 1824.3446350098   ,      16135 ,    222703 , 6.7556251517765   ,203.112.223.126
true  ,1731215231.3577 ,elite       , 5610.4204842214   ,1710637094.3151 ,"AS11014 CPS"                                                                                                                   ,CPS                                               ,"Buenos Aires"               ,"South America"   ,SA                    ,Argentina                ,AR                  ,                            ,false           ,CPS                                                                   ,-34.6142    ,-58.3811    ,false          ,"NOVIT SA"                                                      ,false         ,"Buenos Aires F.D."                   ,success        ,America/Argentina/Buenos_Aires ,1871        ,         1730683416 ,1731215231.3577 , 4153 ,socks4   ,socks4://190.104.219.147:4153  ,true  , 4114.0661239624   ,       3026 ,    163096 , 1.8215528346637   ,190.104.219.147
true  ,1731215231.1639 ,elite       , 4105.1225625586   ,1710596381.6967 ,"AS23969 TOT Public Company Limited"                                                                                            ,TOT-NET                                           ,Bangkok                      ,Asia              ,AS                    ,Thailand                 ,TH                  ,                            ,false           ,"TOT Public Company Limited"                                          ,13.7063     ,100.4597    ,false          ,"TOT Public Company Limited"                                    ,false         ,Bangkok                               ,success        ,Asia/Bangkok                   ,10110       ,         1730711235 ,1731215231.1639 ,49992 ,socks4   ,socks4://180.180.124.248:49992 ,true  , 7890.4213905334   ,      11778 ,    181645 , 6.0892448157665   ,180.180.124.248
true  ,1731214467.2698 ,elite       ,  195.70416306314  ,1730006221.6434 ,"AS14061 DigitalOcean, LLC"                                                                                                     ,DIGITALOCEAN-ASN                                  ,"North Bergen"               ,"North America"   ,NA                    ,"United States"          ,US                  ,                            ,true            ,"DigitalOcean, LLC"                                                   ,40.793      ,-74.0247    ,false          ,"DigitalOcean, LLC"                                             ,false         ,"New Jersey"                          ,success        ,America/New_York               ,07047       ,         1730611069 ,1731215231.0872 , 3128 ,http     ,http://142.93.202.130:3128     ,false ,  197.749376297    ,      11006 ,      6960 ,61.260158076366    ,142.93.202.130
true  ,1731215181.7457 ,elite       , 3342.9199092918   ,1728992765.1396 ,"AS36666 GloboTech Communications"                                                                                              ,GTCOMM                                            ,Montreal                     ,"North America"   ,NA                    ,Canada                   ,CA                  ,Ville-Marie                 ,true            ,"GloboTech Communications"                                            ,45.5049     ,-73.573     ,false          ,                                                                ,true          ,Quebec                                ,success        ,America/Toronto                ,H4X         ,         1730841854 ,1731215230.6426 , 2657 ,http     ,http://67.43.227.230:2657      ,false ,  983.95371437073  ,         72 ,     13042 , 0.54903156931524  ,67.43.227.230
